,location,city,country,unit,latitude,longitude,co,no2,o3,pm10,pm25,so2
0,"Adarsh Nagar, Jaipur - RSPCB",Jaipur,IN,µg/m³,26.902909,75.836853,810.0,29.786666666666665,3.3641666666666663,58.32250000000001,23.44416666666667,10.517499999999998
1,"Airoli, Navi Mumbai - MPCB",Navi Mumbai,IN,µg/m³,19.1494,72.9986,1480.0,,,30.0,,42.96461538461537
2,"Alandur Bus Depot, Chennai - CPCB",Chennai,IN,µg/m³,12.909916099999998,80.1076538,1086.1538461538462,8.203076923076923,12.255384615384616,,18.555384615384614,5.246923076923077
3,"Alipur, Delhi - DPCC",Delhi,IN,µg/m³,28.815329,77.15301,808.3333333333334,19.125,8.241666666666667,58.666666666666664,35.8,6.4363636363636365
4,"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,IN,µg/m³,16.9872867,81.73631759999999,644.1666666666666,16.075,34.4,42.333333333333336,20.666666666666668,17.891666666666666
5,"Anand Vihar, Delhi - DPCC",Delhi,IN,µg/m³,28.646835,77.31603199999999,1066.6666666666667,41.324999999999996,20.716666666666665,110.0,53.0,9.808333333333332
6,"Ardhali Bazar, Varanasi - UPPCB",Varanasi,IN,µg/m³,25.3505986,82.9083074,499.09090909090907,28.883636363636356,18.173636363636362,201.63636363636363,342.45454545454544,19.197272727272725
7,"Arya Nagar, Bahadurgarh - HSPCB",Bahadurgarh ,IN,µg/m³,28.6701,76.9254,792.5,10.105,7.998333333333331,111.98000000000002,49.940000000000005,4.870833333333334
8,"Asansol Court Area, Asansol - WBPCB",Asansol,IN,µg/m³,23.685297,86.94596800000001,170.83333333333334,6.3,11.28416666666667,40.436666666666675,24.52583333333334,4.975833333333333
9,"Ashok Nagar, Udaipur - RSPCB",Udaipur,IN,µg/m³,24.5886166,73.6321397,129.16666666666666,3.2225,19.683333333333334,85.93083333333333,32.985833333333325,9.983333333333333
10,"Ashok Vihar, Delhi - DPCC",Delhi,IN,µg/m³,28.695381,77.181665,1141.6666666666667,21.641666666666666,27.93,90.91666666666667,42.083333333333336,13.645454545454545
11,"Aya Nagar, Delhi - IMD",Delhi,IN,µg/m³,28.4706914,77.10993640000001,860.0,17.85,10.49,74.22,32.48,
12,"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,µg/m³,12.913521800000002,77.5950804,963.0769230769231,7.202307692307692,10.654166666666667,,18.504615384615384,3.17
13,"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,IN,µg/m³,12.9352049,77.6814488,692.5,0.355,0.0,,21.995833333333334,5.984999999999999
14,"Bandra, Mumbai - MPCB",Mumbai,IN,µg/m³,19.041847,72.865513,1353.3333333333333,9.543333333333335,9.293333333333335,,3.893333333333333,13.83083333333333
15,"Bawana, Delhi - DPCC",Delhi,IN,µg/m³,28.7762,77.051074,,102.15833333333332,16.35,130.66666666666666,71.66666666666667,
16,"Belur Math, Howrah - WBPCB",Howrah,IN,µg/m³,22.629801,88.352017,275.0,21.974999999999998,4.866666666666666,76.91166666666668,36.73666666666666,9.528333333333332
17,"Bhopal Chauraha, Dewas - MPPCB",Dewas,IN,µg/m³,22.9682591,76.06411800000001,334.1666666666667,5.974999999999999,29.350000000000005,52.666666666666664,23.416666666666668,8.633333333333333
18,"Bollaram Industrial Area, Hyderabad - TSPCB",Hyderabad,IN,µg/m³,17.540891000000002,78.358528,445.0,28.549999999999997,37.00000000000001,78.33333333333333,36.666666666666664,50.83333333333334
19,"Borivali East, Mumbai - MPCB",Mumbai,IN,µg/m³,19.2243333,72.8658113,375.0,0.0,7.109166666666667,21.367499999999996,7.100833333333334,13.685000000000002
20,"Burari Crossing, Delhi - IMD",Delhi,IN,µg/m³,28.725650399999996,77.20115729999999,1076.25,54.42375,5.0,121.89874999999999,0.0,
21,"CRRI Mathura Road, Delhi - IMD",Delhi,IN,µg/m³,28.5512005,77.27357370000001,1246.923076923077,53.166153846153854,5.5,104.86153846153846,51.98692307692307,
22,"Central School, Lucknow - CPCB",Lucknow,IN,µg/m³,26.8821003,80.9302753,710.0,18.05,23.427500000000006,,20.397500000000004,2.951666666666666
23,"Central University, Hyderabad - TSPCB",Hyderabad,IN,µg/m³,17.460103,78.334361,140.0,11.125,7.275,21.5,10.75,0.55
24,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",Mumbai,IN,µg/m³,19.10078,72.87462,719.1666666666666,12.183333333333332,3.1875,51.800000000000004,15.221666666666666,6.309166666666666
25,"Chikkaballapur Rural, Chikkaballapur - KSPCB",Chikkaballapur,IN,µg/m³,13.428828,77.731418,0.7050000000000001,17.41111111111111,7.29,9.666666666666666,6.0,10.183333333333332
26,"City Railway Station, Bengaluru - KSPCB",Bengaluru,IN,µg/m³,12.975684300000001,77.5660749,1310.0,30.875714285714288,,37.19428571428572,,7.1242857142857146
27,"Civil Line, Jalandhar - PPCB",Jalandhar,IN,µg/m³,31.321907,75.578914,430.0,19.52,17.03,102.53333333333332,14.907499999999999,4.899166666666666
28,"Civil Lines,  Ajmer - RSPCB",Ajmer,IN,µg/m³,26.470859,74.646594,1635.0,18.377499999999998,7.600833333333333,64.54333333333334,15.743333333333334,3.9058333333333333
29,"Colaba, Mumbai - MPCB",Mumbai,IN,µg/m³,18.91,72.82,267.5,4.951666666666667,6.305000000000001,24.40833333333333,6.797499999999999,21.44583333333333
30,"Collectorate, Gaya - BSPCB",Gaya,IN,µg/m³,24.7955,84.9994,1465.4545454545455,48.324999999999996,22.63333333333333,,24.666666666666668,15.881818181818183
31,"Collectorate, Jodhpur - RSPCB",Jodhpur,IN,µg/m³,26.268248999999997,73.0193853,719.1666666666666,31.40166666666667,6.505,96.40833333333335,46.54583333333333,6.784166666666668
32,"DTU, Delhi - CPCB",Delhi,IN,µg/m³,28.7500499,77.1112615,655.0,76.97500000000001,9.299999999999999,135.66666666666666,70.21083333333335,2.7916666666666665
33,"Deshpande Nagar, Hubballi - KSPCB",Hubballi,IN,µg/m³,15.351773000000001,75.140726,56.666666666666664,1.761666666666667,8.170833333333334,43.24166666666667,7.0,25.937500000000004
34,"F-Block, Sirsa - HSPCB",Sirsa ,IN,µg/m³,29.5364,75.0158,370.8333333333333,17.324166666666667,17.12666666666667,107.91416666666669,87.97500000000001,3.704166666666666
35,"Fort William, Kolkata - WBPCB",Kolkata,IN,µg/m³,22.556639999999998,88.342674,171.66666666666666,17.355,22.083333333333332,40.315833333333345,21.409166666666664,3.436666666666666
36,"GIDC, Ankleshwar - GPCB",Ankleshwar,IN,µg/m³,21.613267,73.01055500000001,1325.8333333333333,11.765,3.08,45.4375,21.152500000000003,18.24833333333333
37,"GM Office, Brajrajnagar - OSPCB",Brajrajnagar,IN,µg/m³,21.800499600000002,83.8396977,2026.6666666666667,6.439166666666666,3.388333333333333,99.89750000000002,38.8775,8.6425
38,"GVM Corporation, Visakhapatnam - APPCB",Visakhapatnam,IN,µg/m³,17.72,83.3,437.5,35.800000000000004,43.849999999999994,67.81818181818181,28.09090909090909,13.483333333333334
39,"Gangapur Road, Nashik - MPCB",Nashik,IN,µg/m³,20.0073285,73.7762427,319.1666666666667,0.015000000000000001,32.681666666666665,39.985833333333325,21.495833333333337,2.1808333333333336
40,"General Hospital, Mandikhera - HSPCB",Mandikhera,IN,µg/m³,27.9002,76.9938,0.0,0.0,0.0,0.0,0.0,0.0
41,"Ghusuri, Howrah - WBPCB",Howrah,IN,µg/m³,22.611968,88.347422,223.33333333333334,6.71,21.189166666666665,68.5,31.691666666666666,6.1933333333333325
