Source-ID,Source-Name,Author,Title,Description,Content
,Foxbusiness.com,Ken Martin,Harley-Davidson pulls plug temporarily on electric motorcycle production - Fox Business,"The bikes retail for $30,000, are still safe to ride.","A charging problem has caused Harley-Davidson to temporarily idle production of its LiveWire electric motorcycle.
The company is conducting tests to investigate the problem in what is seen as a major setback for the motorcycle maker, according to the Wall St… [+1229 chars]"
,Kron4.com,,Panera Bread worker fired after mac and cheese secret exposed - KRON4,"ot many people can say they were fired over mac and cheese — but when a young employee dished too much information about one of Panera Bread’s most popular dishes, it ended up costing h…","(CNN) — Not many people can say they were fired over mac and cheese — but when a young employee dished too much information about one of Panera Bread’s most popular dishes, it ended up costing her her job.
When Panera Bread says, “Food as it should be, shoul… [+1054 chars]"
,Bgr.com,Yoni Heisler,Elon Musk: Tesla’s pickup truck will look like an ‘armored personnel carrier from the future’ - BGR,While Tesla’s initial master plan ended with the release of a mass market EV — which we now know as the Model 3 — the company’s automotive ambitions extend far beyond that. …,"While Tesla’s initial master plan ended with the release of a mass market EV — which we now know as the Model 3 — the company’s automotive ambitions extend far beyond that. Looking ahead, Tesla has a number of intriguing vehicles in its product pipeline, incl… [+1480 chars]"
,Abc7.com,,Taco Bell seasoned beef recalled from some stores due to quality concerns - KABC-TV,Taco Bell restaurants in some states are asking customers to try chicken or steak in their burritos after quality concerns pushed it to stop serving seasoned beef temporarily.,NEW YORK -- Taco Bell restaurants in some states are asking customers to try chicken or steak in their burritos after quality concerns pushed it to stop serving seasoned beef temporarily.The company said Saturday that it told affected restaurants to stop serv… [+1161 chars]
cnn,CNN,"Laura He, CNN Business",Asian stocks open mixed as trade optimism fades - CNN,Optimism is fading over last week's tentative trade truce between the United States and China.,
usa-today,USA Today,Kelly Tyko,Sears and Kmart closing more stores in late 2019 and early 2020. Is your location closing? - USA TODAY,More than 100 Kmart and Sears stores will close by the end of 2019 and more closures are expected to continue into early 2020.,"Last SlideNext Slide
Sears and Kmart store closings are expected to continue into early 2020.
While more than 100 Sears and Kmart stores will shutter in the coming months, additional closures will stretch into January.
Company officials did not release an … [+6139 chars]"
cnbc,CNBC,Yen Nee Lee,China's pork prices surged 69.3% in September from a year ago - CNBC,"Pork is a staple in the Chinese diet, so an increase in prices over the last year have hurt the wallets of many consumers in China.","Pork prices in China jumped 69.3% in September from a year ago as the country continued to battle a shortage of the meat that followed an outbreak of African swine fever.
Last month's surge in pork prices was higher compared to the 46.7% increase seen in Aug… [+1759 chars]"
cnbc,CNBC,Michael Wayland,United Auto Workers summons local union leaders to Detroit as GM strike enters fifth week - CNBC,"A letter to local union leaders said the agenda for the meeting included a ""contract update and any other agenda items to be determined,"" leaving the door open for talks to continue to potentially reach a tentative agreement ahead of the meeting.","DETROIT The United Auto Workers has summoned local union leaders to Detroit on Thursday for an update on its negotiations with General Motors.
The union has traditionally done this when a tentative agreement has been reached or, as was the case a month ago, … [+2079 chars]"
bloomberg,Bloomberg,,WeWork Prefers JPMorgan Lifeline to a Rescue by SoftBank - Bloomberg,,"To continue, please click the box below to let us know you're not a robot."
business-insider,Business Insider,Benjamin Pimentel,"Lack of transparency was a big factor in IPO flops, experts say - Business Insider",Experts critical of the transparency rules in the current IPO system worry that an SEC proposal could make things worse.,"It's been a year of IPO flops featuring high-profile names like Uber, Lyft and Peloton — and it's causing a stir in Silicon Valley's venture capital community.
The unrest has sparked a new debate on the best way for startups to go public, preferably one that… [+8803 chars]"
