,Brand Name,Review,Review Date,Review Website,Star Ratings
0,Kia Seltos,"I brought seltos htx one week back.This is my 6 th car following innova crysta,xuv500,duster,Honda city and1dzire.I can safely say that this is best overall car in this price range at present. Seltos is near perfect vehicle by many angles. It's design is fantastic,looks are fantastic,features are fantastic, refinement is excellent,NVH levels are superb,ride quality is superb and easily comparable to my innova crysta, diesel manual mileage is excellent,seat comfort is superb.Back seat of this vehicle occupies 3 people comfortably. Boot space has enough space for luggage of five people for a short trip.I drove this vehicle on really ugly Bhokar-Nanded road of maharashtra(bad is very mild word for this road at present,i think ,and I can assure you that ,this vehicle has one of the best ride quality which can be easily comparable to my innova crysta in terms of ride quality. Seltos is breeze to drive.I drove petrol GT line also for short distance,and it is also a great variant to own.You can go for either variants as per your needs and choice.Both variants are great. Diesel is giving me 17 kmpl overall at present for 60% highway and 40% city drive with AC 100% on. I hope,Mileage will definitely increase after second service(oil change to 19 Kmpl overall. Smart air purifier with perfume diffuser is a added advantage.AC is powerful and works fantastically.In my opinion,At present,there is no competitor for seltos,when it comes to overall package. So friends,who are in two minds,JUST GO FOR THIS VEHICLE BLINDLY. YOU CAN PURCHASE ANY VARIANT DEPENDING UPON YOUR NEEDS,AND I CAN ASSURE YOU THAT,MOST OF YOU WILL BE VERY PLEASED TO OWN THIS VEHICLE.",16 Sep 2019,www.zigwheels.com,5.0
1,Kia Seltos,"SELTOS IS A PERFECT CAR FOR CITIES AND TOURING AS ITS NOT TOO HUGE NEITHER SMALL. ITS A SILENT CAR WITH AN AVERAGE PICK UP. I HAD A HYUNDAI VERNA TRANSFORM WHICH HAD THE BEST PICK UP IN ITS SEGMENT, SO I AM A LITTLE DISAPPOINTED. BUT OVERALL EXPERIENCE TILL NOW IS GOOD AS ITS JUST 2 WEEKS OLD.",22 Nov 2019,www.zigwheels.com,4.0
2,Kia Seltos,The 1.5 petrol engine on offer in seltos is a good engine and low on maintenance and powerful enough. Handling is also great in this car . Comfortable for 3 - 4 passengers with luggage for a weekend trip or long vacations.,1 Dec 2019,www.zigwheels.com,4.7
3,Kia Seltos,"It is more exciting with this car ,and mare comfortable to drive that ,and no wards to tell about the the car the car was more special for me",21 Nov 2019,www.zigwheels.com,5.0
4,Kia Seltos,"no word to say about this car.mindblowing performance on the road highway ,mountain etc.",23 Oct 2019,www.zigwheels.com,5.0
5,Kia Seltos,"wonderful car this is , stylish customizable and nice 1 with good features",1 Dec 2019,www.zigwheels.com,4.3
6,Kia Seltos,Awesome car with futuristic design and a very powerful GT series engine.,25 Nov 2019,www.zigwheels.com,5.0
7,Kia Seltos,"Awesome performance, looks and interior is mind blowing solid build",3 Nov 2019,www.zigwheels.com,4.7
8,Kia Seltos,"Excellent 👌 driving , sitting , road grip , interior , style etc.",22 Sep 2019,www.zigwheels.com,5.0
9,Kia Seltos,Can I get a certified second hand seltos car at carsangrah.com now,11 Nov 2019,www.zigwheels.com,4.3
0,MG Hector,"I booked MG Hector on 19th of July, 2019. I opted for the Smart DCT option (Aurora Silver at MG’s Showroom Ahmedabad which is owned by Concept motors. I had driven MG before booking the car itself. But after booking it I still wanted a test drive. So 2 weeks after booking the car i went down for a test drive. I was with the same sales person who sold me the car. I was just cruising around on the service road when there was a thud noise in the Engine and then the car stopped. I looked on to the information cluster ahead and it showed orange coloured exclamation mark to which the sales person told that there is some issue with the transmission of the car. He called some guy from the technical dept where he told me that transmission had failed and it was the second time something like this happened. The car had only 4200km on the test runs. I cancelled the booking the next day to which their manager told me to wait and let’s see if there was any issue or not. But as I was adamant they proceeded with the refund. Though they told me that the refund will be processed within 15 days, it took them 28 days just to process it and give me the cheque that too after alot of follow ups. The car is good on cosmetics but I don’t think so that you can trust the engine in long run. MG still needs to take care and refine the engine according to indian road conditions. Giving variety of features won’t help if there is an issue in the Engine Quality.",9 Sep 2019,www.zigwheels.com,1.0
1,MG Hector,"brilliant car by Mg . If we compare the cars in hectors price range Jeep compass is over prized no premium features no comfort. Tata Harrier is fair and interior is worst . The segment king Hyundai Creta is just like I20 wearing heels it is not a car Worth buying. I waited for mg was confused in hector and Creta but hector was just better than creta in terms of design, features, interior . So those people planning to buy hector buy the smart model because it worth buying and I have also bought the smart one.",17 Jul 2019,www.zigwheels.com,5.0
2,MG Hector,"Awesome car , masculine , people look at that when you drive. Pickup is little less. It is only one week old and ran about 800 kms. So not much of feedback.",6 Dec 2019,www.zigwheels.com,4.0
3,MG Hector,I tested thrice over a run of 200Km each time. Milage I got was only 7KM/L,11 Dec 2019,www.zigwheels.com,3.7
4,MG Hector,It’s environmental not good heavy black smoke coming on sudden racing,1 Nov 2019,www.zigwheels.com,1.7
5,MG Hector,Every one try this car. India s most stylish cars ever,2 Sep 2019,www.zigwheels.com,5.0
6,MG Hector,Hector is an internet car and seat comfort is very good,5 Sep 2019,www.zigwheels.com,5.0
7,MG Hector,2years of experience in hector to drive easy way,18 Nov 2019,www.zigwheels.com,5.0
8,MG Hector,"Awesome legroom , first internet car,love it.",21 Aug 2019,www.zigwheels.com,4.3
9,MG Hector,Awesome car!!!! Can’t say anything more,28 Sep 2019,www.zigwheels.com,4.7
0,Jeep Compass,"I purchased Jeep Compass Limited Plus on 1st of July 2019, and within 15 days (vehicle not even driven 500km out of which 300km on first day lot of annoying sounds audible from sunroof, dashboard, doors (maybe from C-pillar and now from suspension. I am in continuous contact with Mr. Mike Manley, Mr. Kevin Flynn, Mr. Mangesh Kodalkar, Mr. Lokendra and their team through email. After approximately one month their team came to record video and they accepted the faulty things and they took my vehicle to dealership/ workshop for 7 days and even after that problems not resolved dashboard problems enhanced. I requested them to replace the faulty vehicle they refused. I said the reason behind the request is that the faulty components was installed from company end and not from customer end. Now their team worsen the things and I am forced to go legal",8 Oct 2019,www.zigwheels.com,2.0
1,Jeep Compass,"Too many flaws. Poor headlights. Bad second gear, stalls frequently despite being careful, deep and clanking clutch and poor ride quality on bad roads and doesn’t live up to the either the hype or its brief. Inconsistent ride quality and non linear engine gear box combo .More show than go",18 Oct 2018,www.zigwheels.com,2.7
2,Jeep Compass,I have no issues with build quality and performance but when it comes to after sales experience Its a nightmare. there is utter neglect shown by the service centres. ii remembered my experience when I first serviced my third hand bike 20 year ago. :(,6 Dec 2018,www.zigwheels.com,5.0
3,Jeep Compass,"Premium feel,head turner, almost no cabin noise, heavy built quality,feel safe inside car,all the required safety features in sports model.Just don""t compare price of other vehicles compare quality. After 2000 rpm the real fun begins.",22 Jan 2019,www.zigwheels.com,5.0
4,Jeep Compass,"Worst engine, always to be in service centre. Can't go touring confidently. I am very much disappointed. I wanted to go for other brands",27 Aug 2019,www.zigwheels.com,1.3
5,Jeep Compass,the beast is on the roadone of the best SUV in the segment from the real makers of SUV,2 Dec 2019,www.zigwheels.com,4.3
6,Jeep Compass,Absolutely fantastic vehicle .Gives you confidence while driving due to its built quality.Fun to drive.Engine performance spot-on Company must workon tyre quality they are not right for this type of vehicles,16 Dec 2019,www.zigwheels.com,5.0
