,Review Text,Review Date,Star Ratings,Review Website,Brand Name
0,"Yes, the HTX variants of Kia Seltos has music system installed in it.","On: Dec 17, 2019 | 749 Views",,www.cardekho.com,Kia Seltos
1,"I am proud of the owner of the Kia Seltos HTK+ petrol variant, it is the most comfortable car in its segment as well as has great driving and handling characteristics. Ki...Read More","On: Dec 17, 2019 | 315 Views",,www.cardekho.com,Kia Seltos
2,"This is the most beautiful car, The design of the Kia Seltos is much richer and newer than other SUV vehicles in India, as well as being sporty. Very good quality has bee...Read More","On: Dec 18, 2019 | 141 Views",,www.cardekho.com,Kia Seltos
3,"The price-performance ratio is better than MG, Creta and other opponents as its size and modern features are very reliable. The wireless charger is also not a common feat...Read More",,,www.cardekho.com,Kia Seltos
4,,,,www.cardekho.com,Kia Seltos
5,,"Nov 14, 2019 3:31:34 PM",,www.cardekho.com,Kia Seltos
6,I have purchased Seltos HTK PLUS Diesel Automatic car is good in handling and running on roads. But there are some problems in quality car doors is very lightweight inside material is also not so premium as I was thinking. The average is also not so good. The audio system is very awesome with mood lighting features. seats are very comfortable but t...Read More,"Oct 23, 2019 12:49:07 PM",,www.cardekho.com,Kia Seltos
7,"I have this car, it's awesome, I am using this car last three months, I haven't felt any problem and it's very good at driving and price-wise it's really good amazing features, a stylish look which makes it perfect. Read More","Jul 31, 2019 4:59:27 PM",,www.cardekho.com,Kia Seltos
8,"Seltos is good, but they need to lower the budget but the car and it is a high-class luxury car. The handling is also very smooth, pickup speed is also superb, the AC cooling is good and superb brakes. But the airbags must be more so that it will ensure safety of the people. Read More","Expected Launch: Jan 01, 2020",,www.cardekho.com,Kia Seltos
9,Very good car and smoothness of the car is nice and features of the car are awesome. The car looks like an SUV and nice-looking exteriors.,"Expected Launch: Jun 01, 2020",,www.cardekho.com,Kia Seltos
10,Seltos is an awesome and comfortable car with low maintenance and low price. The facilities available are good looking at high range.,"Expected Launch: Dec 01, 2021",,www.cardekho.com,Kia Seltos
11,This is a very nice car and the features are very good. People must buy this car. The seats are very nice as well.,"Expected Launch: Oct 15, 2020",,www.cardekho.com,Kia Seltos
12,"Good space and excellent comfort, safer, looks are bold and stylish. The best car in this budget for a small family.","Expected Launch: Jun 01, 2020",,www.cardekho.com,Kia Seltos
13,An awesome and classy car with its amazing features and beautiful and classy look. No other car in this range can give take over to Kia Seltos. This is my humble request to Kia to introduce more cars like this and keep going like this. Read More,"On: Dec 15, 2019 | 384 Views",,www.cardekho.com,Kia Seltos
14,"A compact SUV with the styling, features, and tech to really hit the sweet spot as far as what customers are looking for.","On: Dec 14, 2019 | 49 Views",,www.cardekho.com,Kia Seltos
15,Nice car with suitable features and the cost is also reasonable but the thing is availability. It's not available at all places.,"On: Dec 14, 2019 | 74 Views",,www.cardekho.com,Kia Seltos
16,"Nice car and the design was too awesome. This is the awesome entry of Kia in India. It includes a bose speaker which is too good. In India, this is a first car comes inbuilt bose speakers which are a pretty good thing about the car. The interior was also a good highlight and the exterior was also good. At this price, the car is too good. Read More","On: Dec 15, 2019 | 12 Views",,www.cardekho.com,Kia Seltos
17,Nice car with a lot of features including 360 camera facilities and lot of things which are given the first time in any vehicle in India with low cost and vehicle comfort is high and performance is also good cc is excellent and so on etc enjoy Hia motors enjoy Kia Seltos. Read More,"On: Dec 14, 2019 | 24 Views",,www.cardekho.com,Kia Seltos
