,Review Text,Review Date,Star Ratings,Review Website,Brand Name
0,"There is no manufacturing defect from the brand\'s end. Also, we haven\'t been reported regarding any issues in the car. Proper oiling and maintenance of the mechanixcs in the car will prevent the car from defects.","On: Dec 17, 2019 | 438 Views",,www.cardekho.com,MG Hector
1,Mg hector is best for official use and it was an amazing car. It can be told to be the richest look of this car. It was not a costly car with this type of feature. I am v...Read More,"On: Dec 16, 2019 | 143 Views",,www.cardekho.com,MG Hector
2,"Good looks, high-performance level. Highly recommended! This new company in India is changing the game and introducing some fine machines with strong performance and at a...Read More","On: Dec 18, 2019 | 45 Views",,www.cardekho.com,MG Hector
3,"It is a complete car with all new facilities, MG Hector's body is very good and its performance is excellent. It is very advance according to the era. It has very good fe...Read More",,,www.cardekho.com,MG Hector
4,,,,www.cardekho.com,MG Hector
5,,"Aug 25, 2019 10:22:18 PM",,www.cardekho.com,MG Hector
6,People might like the Kia better but this car has its class of its own with its phenomenal looks and stance which is a charmer on road. The features too are fully loaded as one would expect it to be so good job by the MG team. Read More,"Aug 24, 2019 6:13:31 AM",,www.cardekho.com,MG Hector
7,"1. The exterior looks superb and is a perfect car for men. 2. Best car in this class in the price. 3. Luxurious seating. 4. Large Panorama window. 5. Larger boot space. 6. Only a few commands are working. 7. Pickup, when compared to the same segment bit, lags in this and not that comfortable for driving, and especially due to a short clutch. ...Read More","Aug 2, 2019 12:52:30 PM",,www.cardekho.com,MG Hector
8,A very interesting and spectacular car. MG Hector is world famous now. The huge sunroof and the big 10-inch screen makes this car spectacular. This car gives very good comfort and large boot space. The entertainment in this is the most spectacular feature in MG Hector. Read More,"Expected Launch: Jan 15, 2020",,www.cardekho.com,MG Hector
9,Good and excellent car and it takes all the attention of all the other cars just due to it's exterior. Good in all aspects.,"Expected Launch: Jun 01, 2020",,www.cardekho.com,MG Hector
10,Smooth feel inside the beast. An amazing car so far.,"Expected Launch: Mar 06, 2021",,www.cardekho.com,MG Hector
11,A real slayer. The interior and the exteriors are so dashing. Far better than Toyota Fortuner.,"Expected Launch: Oct 15, 2020",,www.cardekho.com,MG Hector
12,The most powerful car.,"Expected Launch: Jun 06, 2020",,www.cardekho.com,MG Hector
13,Perfect drive due to ultimate steering and infotainment system is mind-blowing.,"On: Dec 10, 2019 | 779 Views",,www.cardekho.com,MG Hector
14,Amazing drive and great looks.,"On: Dec 10, 2019 | 1073 Views",for Hybrid Sharp MT,www.cardekho.com,MG Hector
15,"Best luxury SUV in the budget as It contains many features that are only in this car like the panoramic sunroof, new voice assistance and many more. Its design is very beautiful and taillight looks like Audi's taillight. It has sufficient space for passengers and its price range is also good. It is an affordable car for middle-class people at this ...Read More","On: Dec 10, 2019 | 68 Views",,www.cardekho.com,MG Hector
16,"The MG Hector pretty much outsizes everything in its class. Its length and wheelbase are the largest amongst its rivals, though the narrow girth and excessive rear overhang do throw proportions off a bit. Generous use of chrome means the Hector is big on bling and elements like the split LED DRLs and headlamps set up ensure the MG grabs attention. Read More","On: Dec 10, 2019 | 29 Views",,www.cardekho.com,MG Hector
17,This car is perfect for a family it is the best car in this range. It contains many features that are only in this car like panoramic sunroof new voice assistance and many more its design is very beautiful its tail light is all led its tail light look like Audi tail light and its have efficient space for persons and its price range is also good it ...Read More,"On: Dec 10, 2019 | 36 Views",,www.cardekho.com,MG Hector
18,"The best car at a very reasonable price and best specification in the budget, it has very advanced features.","On: Dec 10, 2019 | 37 Views",,www.cardekho.com,MG Hector
19,"MG Hector is a very comfortable car, I love to drive it, it is very good to take anywhere my experience is very good for Hector.","On: Dec 10, 2019 | 37 Views",,www.cardekho.com,MG Hector
20,"The best car at that price best feature, amazing power, and handling is also good. All over best in class and amazing space.","On: Dec 09, 2019 | 31 Views",,www.cardekho.com,MG Hector
21,Hector has a very luxurious seating in it. There are comfortable seats for everyone and it is the very perfect car for every family,"On: Dec 09, 2019 | 34 Views",,www.cardekho.com,MG Hector
22,The first SUV from MG in India surely is trending. When we first experienced the Hector on the hills.,"On: Dec 09, 2019 | 87 Views",,www.cardekho.com,MG Hector
23,Nice car of new technology.,"On: Dec 09, 2019 | 183 Views",,www.cardekho.com,MG Hector
24,Nice model and features of the car especially the internet car which is fully automatic car.,"On: Dec 08, 2019 | 569 Views",,www.cardekho.com,MG Hector
25,"MG Hector is an awesome car because we are getting all the attractive features in the economical price range. So, I love to drive this car.","On: Dec 08, 2019 | 38 Views",,www.cardekho.com,MG Hector
26,"Hector, as its name indicates bully's, its rivals because of its daring looks, starting from its front the massive LED headlights and the DRL's positioning gives it the aggressiveness, coming to its side profile it looks glorious but just the 17 inch alloy wheels somewhere take the thunder away, then coming to the back of the car, it looks attracti...Read More","On: Dec 09, 2019 | 39 Views",,www.cardekho.com,MG Hector
27,Mg Hector is one of the best SUV segment cars in India. It is competition with Tata Harrier and Hyundai Creta. Pros: It has good pickup 2. It has a smooth drive. Cons:1 Issue with voice command either it doesn't recognize or it listens to what you talk 2. Display touch is not responding sometimes 3. The cooling issue in the rear section ac is not m...Read More,"On: Dec 08, 2019 | 38 Views",,www.cardekho.com,MG Hector
28,"The car is full of updated techs and features. Apart from it, it has superb space, looks, power, and the driving experience is awesome. It's best in the segment.","On: Dec 08, 2019 | 42 Views",,www.cardekho.com,MG Hector
29,MG Hector is one of the most popular SUV with advanced features with all safety features also with high built quality interior and exterior. You will get satisfied after buying the Hector no need to take any worry about we have purchased a good or a bad car. After experiencing the drive day by day you will be satisfied with your doubts. Read More,"On: Dec 08, 2019 | 47 Views",,www.cardekho.com,MG Hector
30,A classic car in this range as it has a better look than Fortuner. Killer looks. Never seen a beast like this ever before.,"On: Dec 08, 2019 | 36 Views",,www.cardekho.com,MG Hector
31,It's an amazing car. It's within the budget and the pickup is amazing. Amazing sunroof.,"On: Dec 08, 2019 | 38 Views",,www.cardekho.com,MG Hector
32,Really a lovely car and highly recommended.,"On: Dec 07, 2019 | 42 Views",,www.cardekho.com,MG Hector
33," MG Hector has very good features and also get a comfortable ride. I love to drive this car as compared to another car. Moreover, this is the best car in this budget range. Read More","On: Dec 04, 2019 | 2027 Views",,www.cardekho.com,MG Hector
